sample,encoder,seed,split_axis,split_side,ratio,model,gene_set,n_train,n_test,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro,species,organ,condition
FFHO026,conch,0,x,high,1.0,train_mean,top50_hvg,8889,2400,50,4.2285439462830253e-07,,-0.0524416950315935,0.7888811230659485,0.6538142561912537,0.4857222939904416,0.96,0.04,0.5,0.7102618667955352,0.5909166666666666,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,1.0,train_mean,top200_hvg,8889,2400,200,-6.762936523241336e-07,,-0.0310873604948687,0.5611231923103333,0.4421697556972503,0.5175752993672113,0.365,0.635,0.5,0.2588394167299814,0.37959375,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,1.0,train_mean,marker_hvg_overlap,8889,2400,195,-6.133044308033785e-07,,-0.0314375783900476,0.5638777613639832,0.4447130858898163,0.5187047563480014,0.3692307692307692,0.6307692307692307,0.5,0.2622308472679899,0.3820619658119658,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,1.0,coordinate,top50_hvg,8889,2400,50,0.025981602827087,0.0258588157678552,-0.2533015421207528,0.8723297119140625,0.6841622591018677,0.3729936564882171,0.6593830166133265,0.3506524496861787,0.5050177331497526,0.5616880763627577,0.6004601670286549,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,1.0,coordinate,top200_hvg,8889,2400,200,0.010721846219385,0.0097034406174966,-0.1535189906236337,0.6007387042045593,0.4351267218589782,0.433698077474097,0.2515937136997183,0.7498572217890309,0.5007254677443745,0.2090370963492603,0.3841200528344246,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,1.0,coordinate,marker_hvg_overlap,8889,2400,195,0.0101496510213623,0.0090733085878667,-0.1546555904345437,0.6039367914199829,0.438429594039917,0.4338273763741835,0.2580448345638136,0.7434433043990059,0.5007440694814098,0.2143970218966772,0.3862352090581033,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,1.0,image,top50_hvg,8889,2400,50,0.4156644161045551,0.4075764270512259,0.1462914052134147,0.6924837827682495,0.5516670942306519,0.5476321136731209,0.8978015683721818,0.3154393566721593,0.6066204625221705,0.7526649714963489,0.7349368862728031,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,1.0,image,top200_hvg,8889,2400,200,0.2944859043043106,0.2910046088035199,0.0657283797734999,0.5159146189689636,0.3965668976306915,0.5457201751457514,0.4733709545118196,0.6787090284397695,0.5760399914757945,0.4255016338602476,0.500442403612074,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,1.0,image,marker_hvg_overlap,8889,2400,195,0.2954911282715889,0.2918080851514671,0.0666138881784624,0.5179961919784546,0.398364394903183,0.5472941336903937,0.4785082525044301,0.6748371429438158,0.5766726977241229,0.4300683015500275,0.5032599675153901,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,1.0,spatial_knn,top50_hvg,8889,2400,50,0.004220397027675,0.0087847240589279,-0.2026760764420032,0.8506684899330139,0.6777926683425903,0.4261115149558898,0.7674467002265912,0.2375132324627844,0.5024799663446878,0.6651580995691482,0.5970782572955425,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,1.0,spatial_knn,top200_hvg,8889,2400,200,-0.0046160235944262,-0.0030218587095396,-0.1595587559603154,0.5996605753898621,0.4468735754489898,0.4610443669589342,0.3769299445406766,0.6226797419263407,0.4998048432335086,0.3497975718468564,0.3809701621993926,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,1.0,spatial_knn,marker_hvg_overlap,8889,2400,195,-0.0043211109257147,-0.002646487329521,-0.1603740138694261,0.6027680039405823,0.4498393833637237,0.4622247002518153,0.3831264562227301,0.6164559560198888,0.4997912061213094,0.3548963722900828,0.3835724633452292,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,0.1,train_mean,top50_hvg,905,2400,50,-5.2248220754336225e-08,,-0.0086491447287517,0.7992715239524841,0.652736485004425,0.4762158464118386,1.0,0.0,0.5,0.7409241827397411,0.6054,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,0.1,train_mean,top200_hvg,905,2400,200,8.15634145626625e-08,,-0.0060418203995141,0.5676094889640808,0.4438114166259765,0.5194148241077982,0.38,0.62,0.5,0.270980189603759,0.3853166666666666,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,0.1,train_mean,marker_hvg_overlap,905,2400,193,1.278009526089737e-07,,-0.0061791727592,0.5723671913146973,0.4481471478939056,0.5195356606260808,0.38860103626943,0.6113989637305699,0.5,0.2774417040995644,0.3900302245250432,human,ovary,ovarian adenocarcinoma
