sample,species,organ,condition,model,pearson_gene_macro,spearman_gene_macro,f1_gene_macro,auprc_gene_macro,n_genes
HCCW027,human,cervix,cervical cancer,spatial_knn,0.007282561632259974,0.0070897962291646,0.00388854093850535,0.03606537218900473,162.75
HCCW027,human,cervix,cervical cancer,train_mean,1.1904525054532615e-09,,0.0,0.0336184110791985,162.75
HHDX011,human,heart,non-diseased,coordinate,0.01210785246110085,0.00803201481409605,0.041885540980121,0.12291605848328777,170.0
HHDX011,human,heart,non-diseased,image,0.1389804811998213,0.12227506852905459,0.0763156112240498,0.17418377034191526,170.0
HHDX011,human,heart,non-diseased,spatial_knn,0.005922467846921501,0.0046608522209506745,0.06050311684642345,0.11986967679233587,170.0
HHDX011,human,heart,non-diseased,train_mean,2.414830085434584e-08,,0.03312480739229692,0.1164248059841951,170.0
HKPD015,human,kidney,mixed kidney regions,coordinate,0.033676160572835304,0.0284203397321371,0.04152700939779015,0.14417264698119836,174.5
HKPD015,human,kidney,mixed kidney regions,image,0.19749411565903685,0.17424026320258898,0.11723121878331827,0.2334856228449,174.5
HKPD015,human,kidney,mixed kidney regions,spatial_knn,0.014903678406266451,0.01287380947971715,0.0691412029972799,0.1343776915277761,174.5
HKPD015,human,kidney,mixed kidney regions,train_mean,4.230791936001562e-08,,0.033982925310767624,0.12794889162561573,174.5
HLCD033,human,lung,lung cancer,coordinate,0.055373959162466,0.047156638766462325,0.16080961308870534,0.27437109143201627,184.75
HLCD033,human,lung,lung cancer,image,0.2761617191623569,0.23213308330797697,0.32312430282653676,0.3962193144863031,184.75
HLCD033,human,lung,lung cancer,spatial_knn,0.057672662039399074,0.055895286633011326,0.23773913793451024,0.2777252763066619,184.75
HLCD033,human,lung,lung cancer,train_mean,-9.424033493013674e-08,,0.128132193590095,0.2539115042352134,184.75
HLCX022,human,lung,lung cancer,coordinate,0.040123987342319326,0.03964944479587738,0.0263936971144353,0.13825032008325466,179.0
HLCX022,human,lung,lung cancer,image,0.18569517329405083,0.17593461963046592,0.09563813634289825,0.21340515383687775,179.0
HLCX022,human,lung,lung cancer,spatial_knn,0.025267268565062475,0.025017407144835923,0.08498704816362479,0.13205688861221088,179.0
HLCX022,human,lung,lung cancer,train_mean,-2.1395403028334814e-08,,0.02597856894375195,0.1208113652597893,179.0
HLDX010,human,liver,liver cancer,coordinate,0.019284512089210525,0.0132784043532415,0.09095615581806975,0.1659629184358518,176.0
HLDX010,human,liver,liver cancer,image,-0.000645652969121175,-0.00013136800518194996,0.08374464421232368,0.15623469369763748,176.0
HLDX010,human,liver,liver cancer,spatial_knn,0.003368423838334275,0.003743997546056175,0.09559851853633518,0.1571276985548724,176.0
HLDX010,human,liver,liver cancer,train_mean,5.969567430049272e-08,,0.08036876509540333,0.1543288352272727,176.0
HOCD032,human,ovary,ovarian cancer,coordinate,0.0818870296318098,0.08302876002839255,0.061973346563508155,0.16747120144435904,188.0
HOCD032,human,ovary,ovarian cancer,image,0.15809186463067157,0.15127483965067398,0.09488154033527324,0.20490960102870448,188.0
HOCD032,human,ovary,ovarian cancer,spatial_knn,0.05586916094556922,0.057232446111236124,0.09103730023587175,0.15009507963352103,188.0
HOCD032,human,ovary,ovarian cancer,train_mean,4.1044960998435304e-08,,0.03514582238915415,0.12949024822695032,188.0
HOCW023,human,ovary,ovarian cancer,coordinate,0.0412973638102882,0.0385234996614376,0.014722586071162,0.06943320548482627,195.0
HOCW023,human,ovary,ovarian cancer,image,0.11610669352971267,0.10953690615040718,0.019950976020155997,0.1098997530312584,195.0
HOCW023,human,ovary,ovarian cancer,spatial_knn,0.03827795278013995,0.038817973969290154,0.025203417732541276,0.0692402936279009,195.0
HOCW023,human,ovary,ovarian cancer,train_mean,6.707942349193445e-08,,0.0008670209674970001,0.05807959401709395,195.0
HPDA034,human,pancreas,ductal adenocarcinoma,coordinate,0.05679342159152225,0.051337106063776776,0.06664523559767832,0.1533269972400368,184.75
HPDA034,human,pancreas,ductal adenocarcinoma,image,0.20529878374369911,0.17716950860554276,0.13325753288352493,0.24149041246276173,184.75
HPDA034,human,pancreas,ductal adenocarcinoma,spatial_knn,0.046963758336673045,0.04753127545272067,0.0919798024360625,0.1485475462480494,184.75
HPDA034,human,pancreas,ductal adenocarcinoma,train_mean,-1.4470037572689231e-08,,0.020984608451475997,0.12937272020661963,184.75
HPXM007,human,pancreas,pancreas,coordinate,0.04017023717970303,0.03782586212702688,0.027422370682193352,0.11015544854010287,179.5
HPXM007,human,pancreas,pancreas,image,0.17974044642535109,0.15250020541844667,0.08353174659296987,0.19048481412496174,179.5
HPXM007,human,pancreas,pancreas,spatial_knn,0.02805543367179825,0.029299619709444374,0.044908189138287626,0.10285036927635655,179.5
HPXM007,human,pancreas,pancreas,train_mean,2.5771602681451975e-08,,0.006348517821147575,0.09114006745326972,179.5
HSDX009,human,skin,non-diseased section 1,coordinate,-0.003926525173784175,-0.003808923067599425,0.02374992218203988,0.07126822947140125,176.0
HSDX009,human,skin,non-diseased section 1,image,0.18596941050395266,0.15607029845460396,0.08007702351930171,0.16909743777716582,176.0
HSDX009,human,skin,non-diseased section 1,spatial_knn,0.045755096986727445,0.04827899573453015,0.03561260490368823,0.07911445379133637,176.0
HSDX009,human,skin,non-diseased section 1,train_mean,-1.4159406773521739e-08,,0.00104475043899375,0.06465905636265802,176.0
HSDX009_2,human,skin,non-diseased section 2,coordinate,0.06870040201724675,0.06659880239936063,0.019085228091736677,0.0827343748161432,177.25
HSDX009_2,human,skin,non-diseased section 2,image,0.17585837079037628,0.1458263467040731,0.06820382251912212,0.14537357442179832,177.25
HSDX009_2,human,skin,non-diseased section 2,spatial_knn,0.022114678837001776,0.02276761947990815,0.017000605887547374,0.05551012089395075,177.25
HSDX009_2,human,skin,non-diseased section 2,train_mean,-3.4900218235310635e-08,,0.0,0.04876293811583065,177.25
HSPD012,human,skin,melanoma,coordinate,0.0820553655438028,0.07634124376209322,0.2005193520833972,0.29702938522126054,188.25
HSPD012,human,skin,melanoma,image,0.3482587322912371,0.29106288230056154,0.3530385621495896,0.44481103572500225,188.25
HSPD012,human,skin,melanoma,spatial_knn,0.07787881874910238,0.06950773840168287,0.22376938739630314,0.28345190072490944,188.25
HSPD012,human,skin,melanoma,train_mean,1.3646266291292556e-07,,0.1123698294983006,0.2459847695973582,188.25
HTDX008,human,tonsil,reactive follicular hyperplasia,coordinate,0.020260434655633826,0.017770416401322476,0.05632805196280245,0.16623188799280822,185.75
