sample,encoder,seed,split_axis,split_side,model,gene_set,n_train_cells,n_test_cells,coordinate_units_per_micron,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro
HLCX022,conch,3,y,low,pseudo_spot_55um,top50_hvg,9042,2400,4.705882,50,0.2374428937770426,0.2366539098498299,-0.031606623546686,0.491500586271286,0.3678281009197235,0.3918111682386105,0.3427602986111158,0.7741231332025669,0.5584417159068412,0.31956280766017,0.4062744545196591
HLCX022,conch,3,y,low,pseudo_spot_55um,top200_hvg,9042,2400,4.705882,200,0.132572701802128,0.1278676587981272,-0.0238453488807135,0.3228809833526611,0.1906140297651291,0.4200526607331811,0.0866169584144078,0.943092711804404,0.514854835109406,0.081477056762435,0.1970113702514389
FFHO026,conch,0,x,high,cell_image,top50_hvg,8889,2400,4.705882,50,0.4156644161045551,0.4075764270512259,0.1462914052134147,0.6924837827682495,0.5516670942306519,0.5476321136731209,0.8978015683721818,0.3154393566721593,0.6066204625221705,0.7526649714963489,0.7349368862728031
FFHO026,conch,0,x,high,cell_image,top200_hvg,8889,2400,4.705882,200,0.2944859043043106,0.2910046088035199,0.0657283797734999,0.5159146189689636,0.3965668976306915,0.5457201751457514,0.4733709545118196,0.6787090284397695,0.5760399914757945,0.4255016338602476,0.500442403612074
FFHO026,conch,0,x,high,train_mean,top50_hvg,8889,2400,4.705882,50,4.2285439462830253e-07,,-0.0524416950315935,0.7888811230659485,0.6538142561912537,0.4857222939904416,0.96,0.04,0.5,0.7102618667955352,0.5909166666666666
FFHO026,conch,0,x,high,train_mean,top200_hvg,8889,2400,4.705882,200,-6.762936523241336e-07,,-0.0310873604948687,0.5611231923103333,0.4421697556972503,0.5175752993672113,0.365,0.635,0.5,0.2588394167299814,0.37959375
FFHO026,conch,0,x,high,pseudo_spot_8um,top50_hvg,8889,2400,4.705882,50,0.4154822228848934,0.4073444304284361,0.1458711169830348,0.6926320791244507,0.5518022775650024,0.5478816048673645,0.8983058249120183,0.3146087912889717,0.606457308100495,0.7527637615163311,0.7347890506342567
FFHO026,conch,0,x,high,pseudo_spot_8um,top200_hvg,8889,2400,4.705882,200,0.2943541063927114,0.2908269199690743,0.0655454177881983,0.5159705877304077,0.3967081904411316,0.5458781186432338,0.4750674076751293,0.6773612434931751,0.5762143255841522,0.4266896285027425,0.5003786898815897
FFHO026,conch,0,x,high,pseudo_spot_16um,top50_hvg,8889,2400,4.705882,50,0.4151453131437301,0.4069025311108754,0.1455688359239138,0.6927084922790527,0.5519267320632935,0.5480876887995463,0.8978542422477125,0.3154973543740691,0.6066757983108908,0.7527539056043931,0.7345865745083657
FFHO026,conch,0,x,high,pseudo_spot_16um,top200_hvg,8889,2400,4.705882,200,0.2941077595390379,0.2905299766705795,0.0653994436429638,0.5159932374954224,0.3967336118221283,0.5460354678463627,0.4748626441239602,0.6778784736329264,0.5763705588784434,0.4268436604418933,0.5001310691392089
FFHO026,conch,0,x,high,pseudo_spot_55um,top50_hvg,8889,2400,4.705882,50,0.4091789093613625,0.4003867652231488,0.1442138312524184,0.6941477060317993,0.5528160929679871,0.5449323488556072,0.8956171076485294,0.3176029953958293,0.6066100515221794,0.7520333468089528,0.7323166245529211
FFHO026,conch,0,x,high,pseudo_spot_55um,top200_hvg,8889,2400,4.705882,200,0.2866699998546391,0.2826715398646959,0.0626309922349173,0.5171082615852356,0.397188663482666,0.5435590333970891,0.4706337825965871,0.6783904468031896,0.5745121146998884,0.422895161393485,0.495443731613596
FFHO026,conch,1,y,high,cell_image,top50_hvg,9048,2400,4.705882,50,0.4220003944635391,0.4171065480429289,0.1868228966742754,0.7054345011711121,0.558368980884552,0.567282031843748,0.8891732077817509,0.3183032308820382,0.6037382193318946,0.7626526409953496,0.7604828442899282
FFHO026,conch,1,y,high,cell_image,top200_hvg,9048,2400,4.705882,200,0.2986750010028481,0.2914256180566348,0.0973123048245906,0.5232744216918945,0.3980746567249298,0.5674795237768562,0.441322980543266,0.6991893106340197,0.5702561455886429,0.4145430496095026,0.5181179986227737
FFHO026,conch,1,y,high,train_mean,top50_hvg,9048,2400,4.705882,50,-7.855905026588061e-07,,-0.0071252727815408,0.798557698726654,0.651563823223114,0.4777951346246027,0.96,0.04,0.5,0.7222672923254275,0.6054
