encoder,species,organ,target,train_samples,seed,ratio,model,gene_set,n_train,n_test,n_shared_genes,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro
conch,human,ovary,HOCD032,FFHO026;HOCW023,0,0.25,image,marker_hvg_overlap,6000,12000,352,186,0.0194061116983717,0.0200576485459076,-0.4524614740143059,0.3023658692836761,0.1598668992519378,0.1509540091914449,0.0392230302280082,0.9614483361007052,0.5003356831643567,0.0272089408833328,0.1130298098261466
conch,human,ovary,HOCD032,FFHO026;HOCW023,0,0.25,train_mean,top50_hvg,6000,12000,352,50,1.2036238950230429e-06,,-1.8978623431362207,0.4662327170372009,0.3917047083377838,0.1075180323541576,0.3,0.7,0.5,0.10863787467246,0.2025833333333333
conch,human,ovary,HOCD032,FFHO026;HOCW023,0,0.25,train_mean,top200_hvg,6000,12000,352,200,2.245174425996588e-07,,-0.6362988765352384,0.3140403628349304,0.1898403316736221,0.1873500472450747,0.075,0.925,0.5,0.027159468668115,0.1107729166666666
conch,human,ovary,HOCD032,FFHO026;HOCW023,0,0.25,train_mean,marker_hvg_overlap,6000,12000,352,186,1.847897831956792e-07,,-0.6721540460012259,0.3087559640407562,0.1893166154623031,0.1985280933362299,0.0806451612903225,0.9193548387096774,0.5,0.0292037297506613,0.1069977598566308
conch,human,ovary,HOCD032,FFHO026;HOCW023,0,1.0,image,top50_hvg,24000,12000,352,50,0.0133264652034267,0.0173836841019274,-0.8411846110085025,0.4344063699245453,0.3023904263973236,0.0979395952876874,0.1290879614461335,0.8735546007722607,0.501321281109197,0.0881161633899775,0.2044875106700767
conch,human,ovary,HOCD032,FFHO026;HOCW023,0,1.0,image,top200_hvg,24000,12000,352,200,0.0260463497695309,0.0272187539753721,-0.3389538315287791,0.3042064011096954,0.153289258480072,0.1665446643967546,0.0324513652551994,0.9683348655124012,0.5003931153838004,0.0223609111876032,0.1198485540912732
conch,human,ovary,HOCD032,FFHO026;HOCW023,0,1.0,image,marker_hvg_overlap,24000,12000,352,186,0.0226356845424336,0.0237720548557097,-0.3504826505943852,0.297276884317398,0.151697501540184,0.1691112493022219,0.0348917467084655,0.9659658556925714,0.5004288012005185,0.0240396204010889,0.1141610334551348
conch,human,ovary,HOCD032,FFHO026;HOCW023,0,1.0,train_mean,top50_hvg,24000,12000,352,50,-1.9590082558806898e-07,,-1.9117358771599535,0.4675646126270294,0.3927176296710968,0.1064549768259198,0.32,0.68,0.5,0.1141501609204842,0.2025833333333333
conch,human,ovary,HOCD032,FFHO026;HOCW023,0,1.0,train_mean,top200_hvg,24000,12000,352,200,-3.104777002774521e-09,,-0.6374741312145187,0.3144621849060058,0.1899715214967727,0.1870228894276207,0.08,0.92,0.5,0.028537540230121,0.1107729166666666
conch,human,ovary,HOCD032,FFHO026;HOCW023,0,1.0,train_mean,marker_hvg_overlap,24000,12000,352,186,5.509376840625909e-08,,-0.6729650384488302,0.309241771697998,0.1894025951623916,0.1980846067938236,0.086021505376344,0.913978494623656,0.5,0.0306855271291624,0.1069977598566308
conch,human,ovary,HOCD032,FFHO026;HOCW023,1,0.1,image,top50_hvg,2400,12000,352,50,0.0170440414408221,0.0183883144432479,-1.006816402375698,0.4491970539093017,0.3090512454509735,0.0677398330087774,0.1256490398274474,0.8782554819253257,0.5019522608763866,0.0933433505935086,0.2062014680127681
conch,human,ovary,HOCD032,FFHO026;HOCW023,1,0.1,image,top200_hvg,2400,12000,352,200,0.0180809446797866,0.0179759411517911,-0.5037404705956579,0.3135809004306793,0.1645866334438324,0.1273653509671409,0.0326275418950292,0.9689982266958576,0.5008128842954435,0.0250463049555505,0.1168036928159312
conch,human,ovary,HOCD032,FFHO026;HOCW023,1,0.1,image,marker_hvg_overlap,2400,12000,352,186,0.0171006953079545,0.0170924352957545,-0.5159492171820133,0.3069805800914764,0.16253262758255,0.1282494991777532,0.0350605639167,0.9667180014187108,0.5008892826677054,0.0268864305601054,0.1125334599709366
conch,human,ovary,HOCD032,FFHO026;HOCW023,1,0.1,train_mean,top50_hvg,2400,12000,352,50,9.68200368376415e-07,,-1.9046066068281289,0.4664415717124939,0.3913840055465698,0.1031056825105601,0.32,0.68,0.5,0.1141501609204842,0.2025833333333333
conch,human,ovary,HOCD032,FFHO026;HOCW023,1,0.1,train_mean,top200_hvg,2400,12000,352,200,-2.5706435038408416e-08,,-0.6255087553468457,0.3141572177410126,0.1892926841974258,0.1847885786066349,0.08,0.92,0.5,0.028537540230121,0.1107729166666666
conch,human,ovary,HOCD032,FFHO026;HOCW023,1,0.1,train_mean,marker_hvg_overlap,2400,12000,352,186,1.8570820642323226e-08,,-0.6595181790560243,0.3088420033454895,0.188683196902275,0.196125858072425,0.086021505376344,0.913978494623656,0.5,0.0306855271291624,0.1069977598566308
conch,human,ovary,HOCD032,FFHO026;HOCW023,1,0.25,image,top50_hvg,6000,12000,352,50,0.0377205125876935,0.0403504001315316,-1.0177611724566669,0.4352962374687195,0.3121408820152282,0.1092857943878462,0.160894946769082,0.8496842306816077,0.5052895887253449,0.1089076118369812,0.2132104991538188
conch,human,ovary,HOCD032,FFHO026;HOCW023,1,0.25,image,top200_hvg,6000,12000,352,200,0.0337550241229473,0.0340021335773523,-0.4437170701730065,0.3051728308200836,0.1624612957239151,0.1688374199413831,0.0406937269193017,0.9622251003963456,0.5014594136578236,0.0280025262213769,0.1221923889168912
conch,human,ovary,HOCD032,FFHO026;HOCW023,1,0.25,image,marker_hvg_overlap,6000,12000,352,186,0.0302944900527451,0.0305302701926136,-0.4622644910924336,0.2987554371356964,0.1611905395984649,0.1713661948568241,0.0437555983990736,0.9593900922260682,0.501572845312571,0.0301080532919345,0.1166387813247348
