sample,encoder,method,seed,split_axis,split_side,gene_set,n_train,n_test,top_k,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro,ridge_pearson_gene_macro,ridge_f1_gene_macro,pearson_difference_bleep_minus_ridge,f1_difference_bleep_minus_ridge
HKPD015,conch,bleep_conch_adapter,1,y,high,top50_hvg,8900,2400,50,50,0.3412460081279277,0.3137585953522752,0.041182485949248,0.5579490661621094,0.3356209397315979,0.3928920155302688,0.243834294394886,0.9016804116525584,0.5727573530237222,0.2341479739670792,0.4634469107476074,0.4157034417986869,0.4631450277897909,-0.07445743367075919,-0.22899705382271168
HKPD015,conch,bleep_conch_adapter,2,x,low,top50_hvg,8840,2400,50,50,0.3459732042253017,0.3197680906225661,0.0314714535488747,0.5892717838287354,0.4063263237476349,0.4062039302080856,0.5157720996979208,0.6958520945614225,0.6058120971296717,0.4097195687870371,0.4702287843884483,0.4146399168670177,0.4670668833920923,-0.06866671264171598,-0.05734731460505521
HKPD015,conch,bleep_conch_adapter,3,y,low,top50_hvg,9078,2400,50,50,0.3678568690270185,0.3380716711216315,0.0689144441625103,0.6103935241699219,0.3925843834877014,0.4489826784982059,0.2671404420630122,0.8936652820519743,0.5804028620574933,0.3008965302398032,0.5127660380568763,0.4322609169781208,0.4804124713279017,-0.06440404795110233,-0.17951594108809854
HLCD033,conch,bleep_conch_adapter,0,x,high,top50_hvg,8898,2400,50,50,0.3774509903788566,0.3342520467296447,-0.0943585347943008,0.7434334754943848,0.5605778098106384,0.3896175261474483,0.7195431243708765,0.4361186068923105,0.5778308656315936,0.5790193418282363,0.6234519703762972,0.4868450266122818,0.6506298573462536,-0.1093940362334252,-0.07161051551801723
HLCD033,conch,bleep_conch_adapter,1,y,high,top50_hvg,9042,2400,50,50,0.3902745692431926,0.360133293827127,0.0057021502312272,0.673222005367279,0.5342492461204529,0.441444444545561,0.7911417889320994,0.4046044159900872,0.5978731024610933,0.6134264095208932,0.6116614700025336,0.4523389092087745,0.6336315185489227,-0.062064339965581916,-0.020205109028029522
HLCD033,conch,bleep_conch_adapter,2,x,low,top50_hvg,8840,2400,50,50,0.3248524987697601,0.2342780478137036,0.0463928151410073,0.6128340363502502,0.444379448890686,0.4205779311270169,0.4463699222215799,0.6882029062958221,0.567286414258701,0.4340867997543154,0.518397627487461,0.3803216169774532,0.5441695896576647,-0.055469118207693124,-0.1100827899033493
HLCD033,conch,bleep_conch_adapter,3,y,low,top50_hvg,8926,2400,50,50,0.1205688712745905,0.1077730836108487,-1.8560163523443045,0.75177401304245,0.6044468283653259,0.3256116481087092,0.7484745630477676,0.3137022357928347,0.5310883994203013,0.4512990439317127,0.3748494681563065,0.1541241176798939,0.4532607032704759,-0.0335552464053034,-0.0019616593387631887
HLCX022,conch,bleep_conch_adapter,0,x,high,top50_hvg,8488,2400,50,50,0.3552057206630706,0.3578970224495437,0.0782427169848233,0.4658885300159454,0.2863432168960571,0.3538854614077373,0.175094281178584,0.9545244568365104,0.5648093690075472,0.2050817501393774,0.450918803188138,0.3826245594024658,0.3530077977620076,-0.027418838739395213,-0.14792604762263017
HLCX022,conch,bleep_conch_adapter,1,y,high,top50_hvg,8820,2400,50,50,0.2352154862880706,0.2151644461746412,-0.6530000557750464,0.5098354816436768,0.3838402926921844,0.2033656662952516,0.5324776111011367,0.6782812230564085,0.6053794170787726,0.3131254441841362,0.307353971500639,0.2529644223302603,0.2838615518850003,-0.01774893604218969,0.029263892299135896
HLCX022,conch,bleep_conch_adapter,2,x,low,top50_hvg,8494,2400,50,50,0.3001659849286079,0.300908115781947,0.0478546484932303,0.4759491682052612,0.3445258140563965,0.3987767055379557,0.4097957615551318,0.7775850584659821,0.5936904100105569,0.3687240138927412,0.4023230673572739,0.3197122690081596,0.4015737978857507,-0.019546284079551668,-0.03284978399300953
HLCX022,conch,bleep_conch_adapter,3,y,low,top50_hvg,9042,2400,50,50,0.3096169498935341,0.3063208586443968,-0.3848484913865104,0.5348047614097595,0.3950749933719635,0.4403395882374473,0.636745065074482,0.6401935670592426,0.6384693160668623,0.4886507545627234,0.4364147492054813,0.3181201866455376,0.3880736902661526,-0.008503236752003485,0.10057706429657076
HLDX010,conch,bleep_conch_adapter,0,x,high,top50_hvg,8759,2400,50,50,-0.0225167162093566,-0.0250623985403469,-0.0844933123420924,0.6499814987182617,0.4906184673309326,0.574169377667727,0.4156912973521686,0.5837750420193548,0.4997331696857617,0.3593024991556726,0.4580639610028328,-0.017354459662456,0.4298292435418642,-0.005162256546900602,-0.07052674438619161
HLDX010,conch,bleep_conch_adapter,1,y,high,top50_hvg,8943,2400,50,50,0.0035502154601272,-0.0002067239961543,-0.4582202050706837,0.7705997228622437,0.5647193789482117,0.3157428382417884,0.2002926191981737,0.7997636900319857,0.5000281546150797,0.1411367721942825,0.4492338262530351,-0.0009524818911449,0.3644188221236079,0.0045026973512721,-0.22328204992932538
HLDX010,conch,bleep_conch_adapter,2,x,low,top50_hvg,8817,2400,50,50,0.0054052237118594,0.0066110590626178,-0.1903907277341932,0.6765764951705933,0.5328694581985474,0.5427250190914888,0.653232543732781,0.3453327991763955,0.4992826714545881,0.4722638431834853,0.4489599548496013,0.0058219996863044,0.3942955490722685,-0.0004167759744449998,0.07796829411121681
HLDX010,conch,bleep_conch_adapter,3,y,low,top50_hvg,8986,2400,50,50,0.0057966092042624,0.0061792356639951,-0.0825637155771255,0.6724854111671448,0.5180665254592896,0.5252918628497519,0.4067589115627214,0.5958674729408511,0.5013131922517863,0.3463311019628735,0.4647868985343107,0.0033788721729069,0.4116583321926726,0.0024177370313555,-0.06532723022979914
