sample,encoder,seed,split_axis,split_side,model,gene_set,n_train_cells,n_test_cells,coordinate_units_per_micron,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro
HHDX011,conch,1,y,high,pseudo_spot_16um,top200_hvg,19803,5274,1.0,200,0.1579921929258853,0.1474357378981131,0.0298956592395109,0.2840888202190399,0.1446235030889511,0.5997395816082309,0.0776111870269522,0.9581320655710373,0.5178716262989946,0.0782002861911225,0.1889845123564333
HHDX011,conch,1,y,high,pseudo_spot_55um,top50_hvg,19803,5274,1.0,50,0.3235904884338378,0.30632324374609,0.1046183153335005,0.4593194425106048,0.3361910283565521,0.5910987748474104,0.3147681359830316,0.8292459490601545,0.5720070425215931,0.3142228645244846,0.4607926988426753
HHDX011,conch,1,y,high,pseudo_spot_55um,top200_hvg,19803,5274,1.0,200,0.1571880488004535,0.1468126096861788,0.0295117035918701,0.2840146124362945,0.145346313714981,0.5989520374486051,0.0792914492004362,0.9571622497922718,0.518226849496354,0.0794638002950192,0.188697384113761
HHDX011,conch,2,x,low,cell_image,top50_hvg,19606,5274,1.0,50,0.3236190123856067,0.2802205151170589,0.1311822655331343,0.4205589890480041,0.3130559921264648,0.7363330558321772,0.2986292701484452,0.8401256164810929,0.569377443314769,0.3149277879091004,0.4607137100920849
HHDX011,conch,2,x,low,cell_image,top200_hvg,19606,5274,1.0,200,0.1711668719991576,0.1393520633030454,-0.0263503705486073,0.2585077583789825,0.1322892904281616,0.7287442727299346,0.0777181087550069,0.9598301209755477,0.5187741148652774,0.0828105397916463,0.1932806792561354
HHDX011,conch,2,x,low,train_mean,top50_hvg,19606,5274,1.0,50,-8.269780856551279e-07,,-0.0030676405649865,0.4970412850379944,0.363263189792633,0.6846321784156412,0.18,0.82,0.5,0.1458320701737891,0.3210921501706484
HHDX011,conch,2,x,low,train_mean,top200_hvg,19606,5274,1.0,200,-1.3822090002446608e-07,,-0.0023328183138221,0.2914640307426452,0.1431055963039398,0.6887406514817122,0.045,0.955,0.5,0.0364580175434472,0.118925862722791
HHDX011,conch,2,x,low,pseudo_spot_8um,top50_hvg,19606,5274,1.0,50,0.3236190131306648,0.2802205083567837,0.1311823550891131,0.4205589592456817,0.31305593252182,0.736333090936596,0.2986292701484452,0.8401256164810929,0.569377443314769,0.3149277879091004,0.4607134092791916
HHDX011,conch,2,x,low,pseudo_spot_8um,top200_hvg,19606,5274,1.0,200,0.1711668715672567,0.1393520082455727,-0.026350311844435,0.2585077583789825,0.1322892606258392,0.7287443043396744,0.0777181087550069,0.9598301209755477,0.5187741148652774,0.0828105397916463,0.1932809291691602
HHDX011,conch,2,x,low,pseudo_spot_16um,top50_hvg,19606,5274,1.0,50,0.3236163927614688,0.2802176085728377,0.1311768205091357,0.4205600023269653,0.313057005405426,0.7363359036195676,0.2986145894549354,0.8401125978344985,0.569363593644717,0.3149084565852923,0.460715301578271
HHDX011,conch,2,x,low,pseudo_spot_16um,top200_hvg,19606,5274,1.0,200,0.1711762413347605,0.1393557471185674,-0.0263837870759016,0.2585074603557586,0.1322893053293228,0.7287496790849838,0.0777144385816294,0.9598268663138992,0.5187706524477643,0.0828057069606943,0.1932874826511396
HHDX011,conch,2,x,low,pseudo_spot_55um,top50_hvg,19606,5274,1.0,50,0.3225334811210632,0.2789917705142236,0.1309278348460793,0.4206880331039428,0.3136628866195678,0.7360992321448986,0.3023426258759106,0.8360638439798403,0.5692032349278755,0.3176925514375033,0.4602177800310014
HHDX011,conch,2,x,low,pseudo_spot_55um,top200_hvg,19606,5274,1.0,200,0.1703179228000226,0.1385236135086228,-0.0151859607097503,0.2585239708423614,0.1326509714126587,0.7288230098024644,0.0788777373858514,0.9588364419217662,0.5188570896538088,0.0837266405184625,0.1929509657552175
