sample,species,organ,condition,model,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,pearson_cell_macro,f1_gene_macro,auprc_gene_macro
HLDX010,human,liver,liver cancer,image,-0.0022765174235974,-0.0017865888690282753,-0.028410837764095025,0.5608094675653476,0.4000504867326033,0.4547733852088889
HLDX010,human,liver,liver cancer,spatial_knn,0.010411620090453624,0.009881992546752951,-0.1539889343315735,0.5054189813547846,0.42712138583435805,0.4609299665226812
HLDX010,human,liver,liver cancer,train_mean,1.6163344257691392e-07,,-0.006320257908370125,0.5693565242528683,0.37977975881301507,0.45543749999999994
HOCD032,human,ovary,ovarian cancer,coordinate,0.17915795244043692,0.18327154049018737,-0.18956854252872288,0.25877634969227203,0.27071406100599077,0.3617945602252106
HOCD032,human,ovary,ovarian cancer,image,0.3123824998177588,0.302367600403848,0.02627275010570882,0.35187770061204376,0.3893079214548501,0.4397402774516105
HOCD032,human,ovary,ovarian cancer,spatial_knn,0.13677269935607905,0.13923945219350575,-0.2884285605640616,0.2138713703811127,0.32943943898297245,0.32866558857746203
HOCD032,human,ovary,ovarian cancer,train_mean,1.4176646375929633e-07,,-0.27133483605148284,0.24943473441490524,0.1589049942884297,0.27207499999999996
HOCW023,human,ovary,ovarian cancer,coordinate,0.06393000600248337,0.060330902422312295,-0.8046117209596559,0.2099232656399485,0.058023146183582446,0.13052918608403552
HOCW023,human,ovary,ovarian cancer,image,0.18788512323866594,0.17527252403307372,-0.0378858576755738,0.27163332018377484,0.07780880647860841,0.2089065586855838
HOCW023,human,ovary,ovarian cancer,spatial_knn,0.07180782624326332,0.07176457176968182,-0.19025962700834498,0.17868835751989268,0.08985647114249155,0.1380699600339585
HOCW023,human,ovary,ovarian cancer,train_mean,1.4895611534448962e-07,,-0.36399147823147354,0.16594026967680178,0.0033813817732383997,0.1120395833333333
HPDA034,human,pancreas,ductal adenocarcinoma,coordinate,0.0911732140158619,0.0795186236808246,-3.8837945366979696,0.2745416578345683,0.2175772945625468,0.2678953077952799
HPDA034,human,pancreas,ductal adenocarcinoma,image,0.33098313535097984,0.2821673187519793,-0.2878944280573341,0.4082386118285015,0.3856129023774776,0.42092769471434055
HPDA034,human,pancreas,ductal adenocarcinoma,spatial_knn,0.1002451134583041,0.10098505886536724,-0.3354978773969924,0.2942395946648575,0.26528433648103344,0.2701421117215626
HPDA034,human,pancreas,ductal adenocarcinoma,train_mean,1.6722188771879843e-07,,-1.011061681148219,0.26820293436859177,0.084509650587457,0.22510833333333333
HPXM007,human,pancreas,pancreas,coordinate,0.08979451925406462,0.08249492595044673,-0.332277424193162,0.3988658035990392,0.09676376055073993,0.2221653127565754
HPXM007,human,pancreas,pancreas,image,0.32374789777211843,0.2724827710174997,-0.07343603694913328,0.5049989319596857,0.2745947444844741,0.3768770107512137
HPXM007,human,pancreas,pancreas,spatial_knn,0.06793389249941198,0.07033384403224448,-0.19445450034225356,0.3125384577378951,0.1427182641026868,0.20999021125504486
HPXM007,human,pancreas,pancreas,train_mean,9.756018074695023e-08,,-0.6183408188363501,0.1414955193194424,0.022784019635630127,0.17771666666666663
HSDX009,human,skin,non-diseased section 1,coordinate,0.011250412073532052,0.010559452769793724,-1.4183433752111159,0.10859428753929704,0.08537424369249833,0.14628262544269374
HSDX009,human,skin,non-diseased section 1,image,0.321354492905084,0.2630302954664584,-0.419414790260198,0.3991597087482853,0.26526462337572937,0.3407602561756322
HSDX009,human,skin,non-diseased section 1,spatial_knn,0.102415203983969,0.10743122213089878,-0.28784930712310597,0.16763571698869834,0.1211726774380194,0.1710831359414021
HSDX009,human,skin,non-diseased section 1,train_mean,2.2340035004120294e-08,,-0.5604432796465062,0.1927901305593397,0.005860402184344875,0.13178749999999995
HSDX009_2,human,skin,non-diseased section 2,coordinate,0.152983440816497,0.1470856634775103,-0.3864958113001194,0.21935069089463016,0.06989958468014562,0.21107706484812394
HSDX009_2,human,skin,non-diseased section 2,image,0.3723561179783428,0.294243709338391,-0.007217178513965347,0.4386590261856529,0.26729243646102446,0.3626248659896719
HSDX009_2,human,skin,non-diseased section 2,spatial_knn,0.05904051100820078,0.06137575823198707,-0.7326020112982952,0.07465086952284862,0.06443016592299745,0.13759984644181883
HSDX009_2,human,skin,non-diseased section 2,train_mean,-7.786167632417575e-08,,-0.3104210710641328,0.10727248322116435,0.0,0.11573124999999998
HSPD012,human,skin,melanoma,coordinate,0.11340563527832268,0.10007771321098183,-8.505326620870619,0.28842550066522105,0.40863226046674267,0.4519633453010835
HSPD012,human,skin,melanoma,image,0.4580475474410923,0.3771495366172955,-0.12851796707822366,0.6000395946456228,0.5726648124916649,0.6061034231955833
HSPD012,human,skin,melanoma,spatial_knn,0.15082410658826115,0.12332292832431095,-0.8383851541625336,0.3463888789517339,0.44798578274572565,0.4417990351825214
HSPD012,human,skin,melanoma,train_mean,5.6147410689710856e-08,,-2.0486024344569547,0.2571497120251742,0.3902123770753825,0.36820624999999996
HTDX008,human,tonsil,reactive follicular hyperplasia,coordinate,0.0281329600195022,0.021999814615653826,-0.13863876396222619,0.28705431197598247,0.20568880343523743,0.33432343658705166
HTDX008,human,tonsil,reactive follicular hyperplasia,image,0.2938507235969883,0.24887392956014912,0.07229721734685877,0.4617236954774637,0.39895643298666805,0.46912190622739397
HTDX008,human,tonsil,reactive follicular hyperplasia,spatial_knn,0.018081556724429525,0.0107246449210999,-0.18366074749734249,0.27766615286500285,0.2901524489436945,0.32464732791589535
HTDX008,human,tonsil,reactive follicular hyperplasia,train_mean,2.6610278714163845e-07,,-0.019308622000062274,0.3676038145784574,0.16910411131250627,0.31453125
MBDC037,mouse,bone,femur,coordinate,0.12381569890312677,0.1279673739523868,-0.33913222326227693,0.22499554170844538,0.2956772687365704,0.385803001471851
MBDC037,mouse,bone,femur,image,0.030064965690349502,0.037212928987310566,-0.06288736441502119,0.17962505297594306,0.23979540340533628,0.31250842970812154
MBDC037,mouse,bone,femur,spatial_knn,0.055271425583996475,0.06125668679609608,-0.2934145597927272,0.13481196995650999,0.29670262781571316,0.3342503451653305
MBDC037,mouse,bone,femur,train_mean,1.8595494061930758e-07,,-0.047500310838659,0.16940585906964928,0.22202843590324367,0.2992208333333333
