sample,encoder,method,seed,split_axis,split_side,gene_set,n_train,n_test,top_k,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro
HBCA041,conch,bleep_conch_adapter,1,y,high,marker_hvg_overlap,8879,2400,50,179,0.2871539258325274,0.2781192417446021,-0.0319746868704724,0.4531100392341614,0.3009971380233764,0.5163410634669072,0.3603930083302234,0.8201065353561842,0.5902497718432038,0.3248896117793852,0.3968203903656996
HBCA041,conch,bleep_conch_adapter,2,x,low,top50_hvg,8986,2400,50,50,0.4828572177886963,0.4710905022774984,0.2043024988111574,0.640222430229187,0.4893155395984649,0.5123732883187072,0.7560007277046422,0.5995766443091433,0.6777886860068928,0.6814809668036864,0.7209733754626232
HBCA041,conch,bleep_conch_adapter,2,x,low,top200_hvg,8986,2400,50,200,0.3004503690163255,0.2804422504084,0.0518066292098956,0.4483241140842438,0.2905343174934387,0.527820246563333,0.3175108168810966,0.8491789264090827,0.5833448716450896,0.3061302817055997,0.4005182363442682
HBCA041,conch,bleep_conch_adapter,2,x,low,marker_hvg_overlap,8986,2400,50,181,0.2964710466121838,0.2785031755447395,0.0485949790425526,0.4476574063301086,0.2912211120128631,0.5267893762004991,0.310143267431368,0.8513502100761943,0.5807467387537812,0.3014810797007251,0.3992004439854353
HBCA041,conch,bleep_conch_adapter,3,y,low,top50_hvg,8840,2400,50,50,0.4071231442689895,0.4070558831242302,-0.0270352330291643,0.7109212279319763,0.5146704912185669,0.4600089006259319,0.4823092466345201,0.7965811403904933,0.6394451935125066,0.5487757725076763,0.6985788935257226
HBCA041,conch,bleep_conch_adapter,3,y,low,top200_hvg,8840,2400,50,200,0.2617074937064899,0.2504383048048996,-0.0218176999193383,0.466452807188034,0.2743841111660003,0.5145412094802547,0.1815487845014478,0.9312680801608234,0.5564084323311355,0.2159476807552998,0.3833127146455615
HBCA041,conch,bleep_conch_adapter,3,y,low,marker_hvg_overlap,8840,2400,50,181,0.2610688761194386,0.2500493623089153,-0.019488181776717,0.4614417254924774,0.2726454734802246,0.5128596566106959,0.1854793254751658,0.928472275524406,0.556975800499786,0.2182383828278807,0.3814862148488928
HBCD036,conch,bleep_conch_adapter,0,x,high,top50_hvg,8983,2400,50,50,0.325954969227314,0.2534607264633589,0.0427409374248236,0.6978808641433716,0.5573803186416626,0.5670808412030484,0.8061134327415361,0.3045557134058267,0.5553345730736815,0.6750792844228484,0.684801449431826
HBCD036,conch,bleep_conch_adapter,0,x,high,top200_hvg,8983,2400,50,200,0.1841543065444784,0.1460214845287925,-0.0024316398231167,0.4533011019229889,0.2893319427967071,0.6364522129753171,0.2571127135155834,0.7894475473440065,0.5232801304297949,0.2221669082719948,0.3359462191058252
HBCD036,conch,bleep_conch_adapter,0,x,high,marker_hvg_overlap,8983,2400,50,189,0.1885575017193563,0.1492658985636633,-0.0023833552843406,0.4570696651935577,0.2892791926860809,0.6420924867374878,0.2602586194598247,0.7874836087964727,0.5238711141281488,0.2249097633122416,0.3382062880399466
HBCD036,conch,bleep_conch_adapter,1,y,high,top50_hvg,9041,2400,50,50,0.3354425373673439,0.2806734494658445,-0.0164778158441185,0.7401607632637024,0.5951293706893921,0.502423677753479,0.9363488671695638,0.2247147026384754,0.5805317849040196,0.7595456972796629,0.70818331470414
HBCD036,conch,bleep_conch_adapter,1,y,high,top200_hvg,9041,2400,50,200,0.1866870635340456,0.1537995486624105,-0.0415046951812109,0.5080387592315674,0.3328375518321991,0.5829845738528671,0.3120839777759749,0.751351292382717,0.531717635079346,0.263125024018167,0.3731182324032997
HBCD036,conch,bleep_conch_adapter,1,y,high,marker_hvg_overlap,9041,2400,50,188,0.1893035211498809,0.1554873099937608,-0.0382828540648606,0.5142305493354797,0.3354928195476532,0.5875345749218049,0.3109642593714464,0.7529355899149425,0.5319499246431945,0.2637713303259013,0.3768756064390928
HBCD036,conch,bleep_conch_adapter,2,x,low,top50_hvg,8853,2400,50,50,0.2774247778952122,0.2098863004429326,-0.0633362293912796,0.7062333822250366,0.5673907995223999,0.606132243854184,0.9337575333796768,0.1900285156126108,0.5618930244961438,0.7869778237876507,0.7312860052042193
HBCD036,conch,bleep_conch_adapter,2,x,low,top200_hvg,8853,2400,50,200,0.1673841053294018,0.1302759435126926,-0.1583116402530868,0.4831172525882721,0.3448871076107025,0.6663629151964803,0.4299753427146144,0.6393404152530855,0.53465787898385,0.32833404205661,0.371168386081637
HBCD036,conch,bleep_conch_adapter,2,x,low,marker_hvg_overlap,8853,2400,50,189,0.1697677691274928,0.1325961820594173,-0.1600061705945461,0.4856508076190948,0.3445104658603668,0.6737613824169182,0.4353070252856743,0.6366104342212243,0.5359587297534494,0.3332151400739797,0.3718007865238938
HBCD036,conch,bleep_conch_adapter,3,y,low,top50_hvg,8990,2400,50,50,0.236263221502304,0.169983710011383,-0.0040880766883492,0.6558938026428223,0.5263161063194275,0.6492608811380596,0.8680369223164675,0.2433396005726404,0.555688261444554,0.7518736348691577,0.717769133905943
HBCD036,conch,bleep_conch_adapter,3,y,low,top200_hvg,8990,2400,50,200,0.1179912650299957,0.0862865430343857,-0.0310403700001916,0.4421178698539734,0.2927135527133941,0.7038949638668457,0.3033594780266685,0.7347055694079073,0.5190325237172879,0.2599593657109104,0.3415146838957523
HBCD036,conch,bleep_conch_adapter,3,y,low,marker_hvg_overlap,8990,2400,50,189,0.119426255335504,0.0870741115753853,-0.0310256503706104,0.4437263607978821,0.2913790047168731,0.7111937491360842,0.3095562991147362,0.7297298154582698,0.519643057286503,0.26447753956191,0.3407604355734419
HBCH024,conch,bleep_conch_adapter,0,x,high,top50_hvg,9042,2400,50,50,0.2224202263644155,0.2356730458184119,-0.0331889555975794,0.2971890568733215,0.1166335269808769,0.11785172530251,0.0109227836481427,0.9980692203196896,0.5044960019839161,0.0181080133588787,0.2265634525044257
HBCH024,conch,bleep_conch_adapter,0,x,high,top200_hvg,9042,2400,50,200,0.1194021205662527,0.1260297280814419,-0.0271317836199887,0.1997082382440567,0.0587787814438343,0.1169701998355569,0.0028605660419058,0.9994441238487558,0.5011523449453308,0.0047039944901621,0.1044051174764275
HBCH024,conch,bleep_conch_adapter,0,x,high,marker_hvg_overlap,9042,2400,50,195,0.1173971236459047,0.1236701395359365,-0.0279801241444567,0.1988174319267273,0.0582985989749431,0.1159654476378364,0.0029339138891341,0.9994298706141084,0.5011818922516214,0.0048246097334996,0.1025134670725641
HBCH024,conch,bleep_conch_adapter,1,y,high,top50_hvg,8915,2400,50,50,0.1967354538512881,0.1752338882840984,-0.0158061593282036,0.182679682970047,0.0645634979009628,0.1454065157572625,0.0114329805432394,0.9985658043724271,0.5049993924578333,0.0109130873133392,0.1302665321878762
HBCH024,conch,bleep_conch_adapter,1,y,high,top200_hvg,8915,2400,50,200,0.1028798163420735,0.0952105502316009,-0.0763031485438114,0.1256968230009079,0.034006480127573,0.1079117144129664,0.0065261372926726,0.9993505415509524,0.5029383394218124,0.0037500638716658,0.0584895928092965
HBCH024,conch,bleep_conch_adapter,1,y,high,marker_hvg_overlap,8915,2400,50,195,0.099695524877844,0.0926986085855554,-0.0791443849931686,0.1249972879886627,0.0338326506316661,0.1075728425541556,0.0065011664540231,0.9993405200699425,0.5029208432619827,0.003488437602424,0.0562629115009789
HBCH024,conch,bleep_conch_adapter,2,x,low,top50_hvg,8882,2400,50,50,0.1720416205562651,0.1672764412758375,-0.0293287282311939,0.1670706123113632,0.0410803221166133,0.0812238230468367,0.0030917137459719,0.9994572125976232,0.5012744631717976,0.0051283920468636,0.1156597474754381
HBCH024,conch,bleep_conch_adapter,2,x,low,top200_hvg,8882,2400,50,200,0.0849626604722288,0.0833935129437811,-0.0371428231361642,0.1117419898509979,0.0204055607318878,0.0676917964651089,0.0007729284364929,0.9998348913847,0.5003039099105965,0.0012820980117159,0.0471019480207484
HBCH024,conch,bleep_conch_adapter,2,x,low,marker_hvg_overlap,8882,2400,50,195,0.0825899977119948,0.0801810469236325,-0.038127172557049,0.1112972795963287,0.0204185303300619,0.0680789994266725,0.0007927471143517,0.9998306578304614,0.5003117024724066,0.0013149723197086,0.0454970412815783
HBCH024,conch,bleep_conch_adapter,3,y,low,top50_hvg,8978,2400,50,50,0.2684990653395653,0.2125115807485027,0.0483696330920793,0.1977402865886688,0.0702579617500305,0.1267037231699307,0.0405754970124667,0.9958437054450732,0.51820960122877,0.0500996977921624,0.1894486782370041
HBCH024,conch,bleep_conch_adapter,3,y,low,top200_hvg,8978,2400,50,200,0.1407683690151167,0.1206477145365997,-0.0046550015188677,0.1353596746921539,0.0354131981730461,0.1065531817276844,0.0101438742531166,0.9989609263612684,0.5045524003071925,0.0125249244480406,0.080692223358961
HBCH024,conch,bleep_conch_adapter,3,y,low,marker_hvg_overlap,8978,2400,50,195,0.1381716421666018,0.1188001791124088,-0.0062570906856424,0.1350240856409073,0.0353061072528362,0.1063977127561068,0.0102140400696733,0.9989636003313466,0.50458882020051,0.0125098006108529,0.0790691583075108
HBES040,conch,bleep_conch_adapter,0,x,high,top50_hvg,8950,2400,50,50,0.393618038315326,0.3891121147075938,0.0702727520652115,0.7040592432022095,0.568780779838562,0.4578341223175851,0.8387606771013238,0.3374329087713557,0.5880967929363399,0.6734691247618088,0.6742284066582583
HBES040,conch,bleep_conch_adapter,0,x,high,top200_hvg,8950,2400,50,200,0.2204368714848533,0.2175882247924354,-0.0071711571438936,0.4701559543609619,0.317558079957962,0.5371752602766323,0.3141312770475771,0.7754276657512446,0.544779471399411,0.2676420724196339,0.3558461402972568
HBES040,conch,bleep_conch_adapter,0,x,high,marker_hvg_overlap,8950,2400,50,182,0.2174069504279152,0.215016656538533,-0.008122392864207,0.4742139279842376,0.3225424289703369,0.5336381704695127,0.3134850954768797,0.7726843537225637,0.5430847245997217,0.26591025333101,0.3569588258041856
HBES040,conch,bleep_conch_adapter,1,y,high,top50_hvg,8989,2400,50,50,0.3890871877968311,0.3904156052919175,0.1233117222785949,0.6633829474449158,0.526755690574646,0.5065554112107115,0.7878808489823962,0.405476640066521,0.5966787445244586,0.6685019482487047,0.6788403717676539
HBES040,conch,bleep_conch_adapter,1,y,high,top200_hvg,8989,2400,50,200,0.2226425458444282,0.2190374163029911,-0.0133602719602185,0.4483425617218017,0.2975574731826782,0.560172880725702,0.3182535245237063,0.77919171033744,0.5487226174305732,0.2704743020678335,0.3517466108945155
HBES040,conch,bleep_conch_adapter,1,y,high,marker_hvg_overlap,8989,2400,50,182,0.2235776760825212,0.2200999824180711,-0.0085967040075267,0.4518488049507141,0.3024154305458069,0.556575023923947,0.3225801870862138,0.7753459761765752,0.5489630816313945,0.2731131374145356,0.3546699609305807
HBES040,conch,bleep_conch_adapter,2,x,low,top50_hvg,8932,2400,50,50,0.357910781353712,0.3628072914917162,-0.0074522662721574,0.6885967254638672,0.5643381476402283,0.4638594246107235,0.8878743633753067,0.2438249045825326,0.5658496339789196,0.6699736619507223,0.6544370999529738
HBES040,conch,bleep_conch_adapter,2,x,low,top200_hvg,8932,2400,50,200,0.1998628400085726,0.1951216525715666,-0.0176841012537988,0.4551543593406677,0.3075546622276306,0.5317876243058224,0.3151760421026281,0.751426123414048,0.533301082758338,0.2546123053804618,0.3339908728984258
HBES040,conch,bleep_conch_adapter,2,x,low,marker_hvg_overlap,8932,2400,50,181,0.2019200112100803,0.196019857023915,-0.0191422006041271,0.4595190584659576,0.3133434057235718,0.5328465668016239,0.3192266000722514,0.7483358002950312,0.5337812001836414,0.2582675615931805,0.3384029278736969
HBES040,conch,bleep_conch_adapter,3,y,low,top50_hvg,9057,2400,50,50,0.3823527996987104,0.3756422366382939,-0.0543415673403069,0.6729808449745178,0.5273799896240234,0.4935790535665122,0.8110681379742478,0.4247997883704193,0.6179339631723334,0.6777613699871493,0.6617680445810109
HBES040,conch,bleep_conch_adapter,3,y,low,top200_hvg,9057,2400,50,200,0.2127147072483785,0.2040633550087531,-0.1360000304513596,0.4412625730037689,0.2997021079063415,0.5516704756087165,0.3556669667967606,0.764626499577452,0.5601467331871063,0.2842678698041962,0.3237904057343578
HBES040,conch,bleep_conch_adapter,3,y,low,marker_hvg_overlap,9057,2400,50,182,0.2109018438060737,0.2020958162310751,-0.1348859872934034,0.4430316686630249,0.3035739362239837,0.5534751240945964,0.3571419276299126,0.7609355304430812,0.5590387290364969,0.2844517933636748,0.3258661026417044
HCCD035,conch,bleep_conch_adapter,0,x,high,top50_hvg,8995,2400,50,50,0.3800112881697714,0.3671102827599177,0.0954587417282164,0.5519230365753174,0.420966625213623,0.4657398853308414,0.5962988114502245,0.6745107417917076,0.635404776620966,0.5640899347266094,0.6109007042740778
HCCD035,conch,bleep_conch_adapter,0,x,high,top200_hvg,8995,2400,50,200,0.2393457337701693,0.2174774215376093,-0.0244068573287222,0.3728706240653991,0.2360287308692932,0.4910920636593026,0.2052400051428289,0.9000155185098051,0.552627761826317,0.20256120837273,0.3169056021571251
HCCD035,conch,bleep_conch_adapter,0,x,high,marker_hvg_overlap,8995,2400,50,180,0.2393819698287795,0.2193324904594755,-0.0283004741300828,0.3787640631198883,0.2415743321180343,0.4977890980787652,0.2138477214982631,0.8948903661204964,0.5543690438093798,0.2095210798083112,0.3222285248806262
HCCD035,conch,bleep_conch_adapter,1,y,high,top50_hvg,8861,2400,50,50,0.3629620027542114,0.3414193748940248,0.0093018292961642,0.5627644062042236,0.4258112609386444,0.5155077648512447,0.5011006442619693,0.7210576795565367,0.6110791619092528,0.4941933799538596,0.6058068060356788
HCCD035,conch,bleep_conch_adapter,1,y,high,top200_hvg,8861,2400,50,200,0.2074449664633721,0.1864562813931636,-0.0413592505530596,0.38776296377182,0.235997200012207,0.5335784207095808,0.1599589287516156,0.9197182716997055,0.5398386002256607,0.1636225623480368,0.3102506573287082
HCCD035,conch,bleep_conch_adapter,1,y,high,marker_hvg_overlap,8861,2400,50,180,0.2098888425751486,0.189238524043645,-0.0304780668186948,0.3929468095302582,0.241206482052803,0.5426970198177882,0.1630442469241991,0.9154466100280544,0.5392454284761267,0.1686384733294871,0.3162433522811487
