sample,encoder,seed,split_axis,split_side,ratio,model,gene_set,n_train,n_test,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro
HHDX011,resnet50,1,y,high,1.0,train_mean,top200_hvg,8948,2400,200,2.446010019829803e-07,,-0.0315593595694167,0.3421954810619354,0.1587889343500137,0.4769829120017035,0.045,0.955,0.5,0.0302749978935057,0.1162083333333333
HHDX011,resnet50,1,y,high,1.0,train_mean,marker_hvg_overlap,8948,2400,170,2.707534308610913e-07,,-0.0337256107205682,0.3514973819255829,0.1605189442634582,0.4874114817938362,0.0411764705882352,0.9588235294117649,0.5,0.0281657714983354,0.1163480392156862
HHDX011,resnet50,1,y,high,1.0,coordinate,top50_hvg,8948,2400,50,-0.1260577988997101,-0.1268514065001241,-0.2903115339763462,0.6641568541526794,0.4601915180683136,0.436291524281988,0.3254025275842812,0.6615821576299317,0.4934923426071064,0.1952265590325032,0.2456612483636228
HHDX011,resnet50,1,y,high,1.0,coordinate,top200_hvg,8948,2400,200,-0.0397021415020572,-0.039836914581445,-0.1090462879607093,0.375174731016159,0.184133768081665,0.4707717713355716,0.0813506318960703,0.9153597337808844,0.4983551828384774,0.0488066397581258,0.1066350370151803
HHDX011,resnet50,1,y,high,1.0,coordinate,marker_hvg_overlap,8948,2400,170,-0.0379134409102227,-0.0377418570158353,-0.1001274923005279,0.385698914527893,0.1842126846313476,0.4800248205580657,0.0712558816069998,0.9259122384814946,0.4985840600442473,0.0442250937915705,0.1072924504777891
HHDX011,resnet50,1,y,high,1.0,image,top50_hvg,8948,2400,50,0.2277828149072593,0.2308150339550934,0.0350387857318855,0.4690687954425812,0.3330486118793487,0.5061681941036812,0.2439970911559829,0.859980666919786,0.5519888790378845,0.2444826948922726,0.3928306450823751
HHDX011,resnet50,1,y,high,1.0,image,top200_hvg,8948,2400,200,0.0903577613972424,0.0912920055123759,-0.0163905242602049,0.2914688885211944,0.1454580575227737,0.5174401926157357,0.0612072150568119,0.9648061167102112,0.5130066658835117,0.0614607773530276,0.1556901191769734
HHDX011,resnet50,1,y,high,1.0,image,marker_hvg_overlap,8948,2400,170,0.089015075650238,0.0894006299566628,-0.0117817700051305,0.2947777211666107,0.147409901022911,0.5249979214609213,0.0605515816987526,0.9641076886350448,0.5123296351668987,0.0600933764173895,0.1536445357044332
HHDX011,resnet50,1,y,high,1.0,spatial_knn,top50_hvg,8948,2400,50,0.0012420580186881,-0.001566619523266,-0.2938928591459989,0.6431277990341187,0.4238843023777008,0.4222413635250928,0.2757193622174043,0.7286529662056916,0.5021861642115479,0.2360756377360723,0.2876955172440219
HHDX011,resnet50,1,y,high,1.0,spatial_knn,top200_hvg,8948,2400,200,-0.0001148162119352,-0.0002169655699945,-0.3813824358209967,0.3713981807231903,0.1672087460756302,0.4483592298232763,0.0712930144258006,0.9296908728004512,0.5004919436131259,0.0620286205594517,0.11745100636419
HHDX011,resnet50,1,y,high,1.0,spatial_knn,marker_hvg_overlap,8948,2400,170,0.0007477108716985,0.0002809488882712,-0.2885857653749339,0.3789353370666504,0.1677907109260559,0.4616163953182277,0.0660904607132023,0.9350585932870488,0.5005745270001256,0.0585760235607918,0.117586198481293
